article_id,group_name,mention_instances,sentence_mentions,active_voice_mentions,passive_voice_mentions,quote_count,quoted_mentions,dehumanizing_count,criminalizing_count,collectivizing_count,erasure_of_civilian_status_count,incitement_displacement_count,incitement_destruction_count,discrediting_journalists_count,censorship_repression_count,victimizing_count,humanizing_count,active_voice_rate,passive_voice_rate,quoted_context_rate,dehumanization_score
2023_10_17_der-feind-hinter-den-pfirsichb-umen,israelis,16,16,7,1,0,3,0,0,0,0,0,0,0,0,0,2,0.4375,0.0625,0.1875,-1.5
2023_10_17_der-feind-hinter-den-pfirsichb-umen,palestinians,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
2023_10_17_die-schmerzen-israels,israelis,11,11,6,2,0,0,0,0,0,0,0,0,0,0,0,2,0.5455,0.1818,0.0,-1.0
2023_10_17_die-schmerzen-israels,palestinians,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1429,0.0,0.0,0.0
2023_10_17_ein-gezielter-anschlag-gegen-schweden-im-herzen-europas,general_journalists,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,-1.0
2023_10_17_ein-gezielter-anschlag-gegen-schweden-im-herzen-europas,israelis,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
2023_10_17_ein-gezielter-anschlag-gegen-schweden-im-herzen-europas,palestinians,2,1,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0.5,0.0,1.0,0.0
2023_10_17_entsetzen-ber-die-gewalt-im-nahen-osten,israelis,22,19,17,1,0,2,0,0,0,0,0,0,0,0,0,2,0.7727,0.0455,0.0909,-1.5
2023_10_17_entsetzen-ber-die-gewalt-im-nahen-osten,palestinians,8,7,5,1,0,0,0,0,0,0,0,0,0,0,0,2,0.625,0.125,0.0,-1.5
2023_10_17_es-ist-auch-ihre-flagge,israelis,11,11,3,1,5,1,0,0,0,0,0,0,0,0,0,0,0.2727,0.0909,0.0909,0.5
2023_10_17_es-ist-auch-ihre-flagge,palestinians,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.0,0.0,0.0
2023_10_17_familien-der-hamas-geiseln-scholz-gibt-uns-hoffnung,israelis,10,9,3,0,2,1,0,0,0,0,0,0,0,0,0,2,0.3,0.0,0.1,-2.0
2023_10_17_familien-der-hamas-geiseln-scholz-gibt-uns-hoffnung,palestinians,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
2023_10_17_hass-auf-israel-kinderfu-balltrainer-massiv-bedroht,israelis,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.0
2023_10_17_hass-auf-israel-kinderfu-balltrainer-massiv-bedroht,palestinians,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
2023_10_17_ich-bin-v-llig-niedergeschlagen,israelis,12,12,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0.6667,0.0,0.0,-2.0
2023_10_17_ich-bin-v-llig-niedergeschlagen,palestinians,12,12,5,0,0,1,0,0,0,0,0,0,0,0,0,3,0.4167,0.0,0.0833,-3.0
2023_10_17_man-darf-sogar-den-mund-halten,general_journalists,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0.0,0.0
2023_10_17_man-darf-sogar-den-mund-halten,israelis,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,-2.0
2023_10_17_man-darf-sogar-den-mund-halten,palestinians,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,-2.0
2023_10_17_nachrichten-am-17-oktober-2023,israelis,3,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0.6667,0.0,0.3333,0.0
2023_10_17_niemand-hat-das-recht-auf-terrorismus,israelis,24,23,16,3,0,5,0,0,1,0,0,0,0,0,0,1,0.6667,0.125,0.2083,2.5
2023_10_17_niemand-hat-das-recht-auf-terrorismus,palestinians,22,22,12,0,0,5,0,0,7,0,0,0,0,0,1,0,0.5455,0.0,0.2273,14.5
2023_10_17_raketen-und-k-mpfer-lauern-in-der-metro,israelis,17,17,10,1,10,4,0,0,0,0,0,0,0,0,0,0,0.5882,0.0588,0.2353,0.5
2023_10_17_raketen-und-k-mpfer-lauern-in-der-metro,palestinians,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.0
2023_10_17_und-die-vereinten-nationen-schauen-machtlos-zu,general_journalists,1,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0
2023_10_17_und-die-vereinten-nationen-schauen-machtlos-zu,israelis,6,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6667,0.1667,0.0,0.5
2023_10_17_und-die-vereinten-nationen-schauen-machtlos-zu,palestinians,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2023_10_17_vers-abraham-42-und-seine-deutung,general_journalists,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2023_10_17_vers-abraham-42-und-seine-deutung,israelis,8,8,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.5,0.5
2023_10_17_vers-abraham-42-und-seine-deutung,palestinians,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
2023_10_17_viele-tote-nach-explosion-in-einem-krankenhaus-in-gaza-stadt,palestinians,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
2023_10_18_alarmsignal-f-r-eine-demokratie,israelis,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0.0,0.0,0.0
2023_10_18_alarmsignal-f-r-eine-demokratie,palestinians,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,-1.0
2023_10_18_biden-auf-heikler-nahost-mission,israelis,20,20,7,2,11,4,0,0,0,0,0,0,0,0,0,0,0.35,0.1,0.2,1.0
2023_10_18_biden-auf-heikler-nahost-mission,palestinians,7,7,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0.4286,0.0,0.1429,0.0
2023_10_18_chinas-wirtschaftswachstum-stabilisiert-sich,israelis,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
2023_10_18_chinas-wirtschaftswachstum-stabilisiert-sich,palestinians,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
2023_10_18_das-erinnert-mit-schrecken-an-die-verbrechen-der-nationalsozialisten,general_journalists,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0.0,0.0
2023_10_18_das-erinnert-mit-schrecken-an-die-verbrechen-der-nationalsozialisten,israelis,5,5,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0.4,0.0,0.2,0.0
2023_10_18_das-erinnert-mit-schrecken-an-die-verbrechen-der-nationalsozialisten,palestinians,3,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0.3333,0.0,0.3333,0.0
2023_10_18_der-kanzler-blickt-in-den-abgrund,israelis,3,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.3333,0.3333,0.0,1.0
2023_10_18_der-kanzler-blickt-in-den-abgrund,palestinians,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6667,0.0,0.0,0.0
2023_10_18_die-hamas-ist-nicht-allein,israelis,10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0.0,0.0,-2.0
2023_10_18_die-hamas-ist-nicht-allein,palestinians,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0.0,0.0,0.0
2023_10_18_die-rache-kommt,general_journalists,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
2023_10_18_die-rache-kommt,israelis,10,10,6,1,0,0,0,0,2,0,0,0,0,0,0,0,0.6,0.1,0.0,4.5
2023_10_18_die-rache-kommt,palestinians,15,12,8,0,10,5,0,0,4,0,0,0,0,0,0,0,0.5333,0.0,0.3333,8.0
2023_10_18_die-vereinten-beobachter,general_journalists,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0
